Nome do alimento,"Hidratos de carbono 
[g]"
"Abacate, Hass",2.3
Abóbora cristalizada,72.4
Abóbora crua,1.7
Abrótea cozida,0
Abrótea crua,0
Açafrão,61.5
Açafrão-da-índia seco,44.1
Acelga crua,2.7
Açorda,13.1
Açorda à alentejana,12.3
Açorda de bacalhau,5.7
Açorda de marisco,5.4
Açorda de ovo,14
Açúcar amarelo,97.5
Açúcar branco,99.3
Agrião cru,0.4
"Água mineral natural gaseificada, ""Água Castello""",0
"Água mineral natural gaseificada, ""Vimeiro""",0
"Água mineral natural gasocarbónica, ""Pedras Salgadas""",0
"Água mineral natural, ""Luso""",0
"Água, rede pública de abastecimento (Lisboa)",0
Aguardente,0
Aipo cru,1.5
Alcachofra cozida,5.3
Alcachofra crua,6.8
Alcaparras (picles),4.9
Alecrim fresco,13.5
"Alecrim, seco",46.4
Alface,0.8
Alface roxa,1.4
Alheira cozida sem adição de sal,26.8
Alheira crua,27.4
Alheira grelhada sem adição de sal,28.5
Alho cru,11.3
Alho em pó,52.3
Alho-francês cru,2.9
Almôndegas de porco,29.2
Almôndegas de vaca,6.4
Almôndegas de vaca e porco ,3.8
Amêijoa aberta ao natural sem sal,5.2
Amêijoa crua,2.6
Amêijoas à Bulhão Pato,3.2
Ameixa branca,7.8
Ameixa encarnada,7.4
Ameixa rainha Cláudia,11.8
Ameixa seca,37.8
"Ameixa, conserva em calda de açúcar",27.5
"Amêndoa, miolo, com pele",7.2
"Amêndoa, miolo, torrada, sem pele",7.1
"Amendoim, miolo",10.1
"Amendoim, miolo, torrado com sal",6.6
"Amendoim, miolo, torrado sem sal",9.5
Amora,4.5
Ananás ,9.5
Ananás desidratado,72.8
"Ananás, conserva em calda de açúcar",23.2
"Anchova, conserva em óleo, escorrido",0
Anona,16.8
Anona desidratada,71.6
Arroz à valenciana,7.7
Arroz agulha cru,78.1
Arroz carolino branqueado cru,79.6
Arroz cozido simples,28
Arroz de bacalhau,15.3
Arroz de bacalhau com margarina,12.2
Arroz de cabidela,12.2
Arroz de cenoura com azeite,19.9
Arroz de ervilhas,18
Arroz de feijão,20.8
Arroz de frango,25.2
Arroz de frango com feijão e chouriço,8.8
Arroz de frango malandrinho à moda de Monção,9.3
Arroz de gambas,8.8
Arroz de lulas,6.7
Arroz de manteiga,44.4
Arroz de marisco,8.2
Arroz de pato,8.4
Arroz de peixe,15.5
Arroz de peixe com ervilhas,19.8
Arroz de polvo com azeite,10.9
Arroz de polvo com tomate ,10
Arroz de polvo com tomate e vinho,6.9
Arroz de tamboril,7.1
Arroz de tamboril malandrinho,10
Arroz de tomate com azeite,20.1
Arroz de tomate com margarina,20.2
Arroz de tomate malandrinho,16.8
Arroz doce,45.2
Arroz integral cru,71.6
Atum conserva em óleo,0
Atum de cebolada,2.6
Atum fresco cru,0
Atum fresco grelhado,0
"Avelã, miolo",6
Azeite (4 marcas),0
Azeitona,0
Bacalhau à Brás,8.3
Bacalhau à Brás com azeite,6.5
Bacalhau à Brás com azeite e azeitonas,6.5
Bacalhau à Gomes de Sá,13.1
"Bacalhau à Gomes de Sá, com azeite",7.4
Bacalhau assado no forno com azeite,0.8
Bacalhau com natas,9.2
"Bacalhau com natas, com queijo ralado",7.6
Bacalhau cozido,0
Bacalhau fresco cozido,0
Bacalhau fresco cru,0
Bacalhau grelhado,0
"Bacalhau seco e salgado, demolhado cru",0
Baço de porco,0.4
Bacon,0
"Bacon, grelhado sem adição de sal",0
Bagas goji secas,51.8
Banana,21.8
Banha de porco,0
Base em pó para bebida de ananás,89.5
Base em pó para bebida de laranja,88.9
"Batata assada com pele, sem sal (só a polpa)",19.2
Batata assada no forno,24.8
Batata cozida,18.5
Batata crua,19.2
Batata doce assada,28.3
Batata doce crua,28.3
"Batata estufada com cebola, azeite e óleo alimentar",14.5
Batata frita caseira (em palitos),27.6
"Batata frita, de pacote (em rodelas)",39
"Batata, fécula",85
"Bebida à base de soja com açúcar, com cálcio, sal e aromas",4.2
"Bebida à base de soja com açúcar, sal e aromas",6.4
"Bebida à base de soja natural, sem açúcar e sem sal",0.4
"Bebida refrigerante, cola",9
"Bebida refrigerante, cola sem açúcar",0
