Cod,Nome do alimento,Nível 1 ,Nível 2,Nível 3 ,"Energia
[kcal] ","Energia
[kJ] ","Lípidos
[g]","Ácidos gordos saturados
[g] ","Ácidos gordos monoinsaturados 
[g]","Ácidos gordos polinsaturados 
[g]","Ácido linoleico 
[g] ","Ácidos gordos trans 
[g]","Hidratos de carbono 
[g]","Açúcares 
[g] ","Oligossacáridos 
[g] ","Amido 
[g]","Fibra  
[g]","Proteínas 
[g] ","Sal  
[g]","Álcool 
[g] ","Água 
[g] ","Ácidos orgânicos 
[g] ","Colesterol 
[mg]","Vitamina A  
[µg]","Caroteno 
[µg]","Vitamina D 
[µg]","alfa-tocoferol 
[mg]","Tiamina 
[mg] ","Riboflavina 
[mg] ","Niacina 
[mg]","Equivalentes de niacina 
[mg]","Triptofano/60 
[mg]","Vitamina B6 
[mg]","Vitamina B12 
[µg]","Vitamina C 
[mg]","Folatos 
[µg]","Cinza 
[g]","Sódio 
[mg]","Potássio 
[mg] ","Cálcio 
[mg]","Fósforo 
[mg]","Magnésio 
[mg]","Ferro 
[mg]","Zinco 
[mg]","Selénio 
[µg]","Iodo 
[µg]",alimento_hc
624,"Abacate, Hass",Frutos e produtos derivados de frutos,Fruta utilizada como fruta,"Frutos diversos com casca não comestível, grandes",176,726,17.4,4.2,10,2.3,1.1,0,2.3,2.3,0,0,3,1.1,0,0,71.5,0,0,5,32,0,2.1,0.1,0.17,1.1,1.3,1.1,0.3,0,3,11,0.75,15,330,4,36,21,0.3,0.3,,,"Abacate, Hass (2.3g HC/100g)"
625,Abóbora cristalizada,Produtos hortícolas e derivados,Produtos hortícolas transformados ou em conserva e produtos similares,Produtos hortícolas cristalizados ou conservados com açúcar,293,1240,0.2,0.1,0,0,0,0,72.4,72.4,0,0,0.7,0,0.1,0,26.4,0,0,45,207,0,0,0,0,0,0,0,0,0,0,0,0.15,27,22,28,2,3,0.4,0.1,,,Abóbora cristalizada (72.4g HC/100g)
579,Abóbora crua,Produtos hortícolas e derivados,Frutos de hortícolas,Frutos vegetais de cucurbitáceas,11,47,0.2,0.1,0,0,0,0,1.7,1.4,0,0.3,0.7,0.3,0,0,96.6,0,0,160,962,0,1,0.01,0.01,0.6,0.6,0,0.04,0,12,8,0.4,1,200,25,5,5,0.1,0.1,,,Abóbora crua (1.7g HC/100g)
801,Abrótea cozida,"Peixes, mariscos, anfíbios, répteis e invertebrados",Peixe (músculo),Peixe de mar,79,334,0.1,0,0,0.1,0,0,0,0,0,0,0,19.4,0.9,0,78.5,0,26,1,0,0.4,0.04,0.03,0.02,0.47,4.1,3.6,0.05,0.4,0,12,2,360,360,13,270,36,0.2,0.6,,22,Abrótea cozida (0g HC/100g)
800,Abrótea crua,"Peixes, mariscos, anfíbios, répteis e invertebrados",Peixe (músculo),Peixe de mar,70,296,0.1,0,0,0,0,0,0,0,0,0,0,17.2,0.2,0,81.5,0,22,1,0,0.4,0.04,0.03,0.03,0.56,3.8,3.2,0.06,0.44,0,12,1.1,63,360,11,230,28,0.2,0.5,,,Abrótea crua (0g HC/100g)
1188,Açafrão,"Leguminosas, frutos de casca rija, sementes oleaginosas e especiarias",Especiarias ,"Flores ou partes de flores, utilizadas como especiarias ou similares",353,1490,5.9,1.6,0.4,2.1,2,0,61.5,42.4,0,17.4,3.9,11.4,0.4,0,11.9,0,0,53,318,0,1.69,0.12,0.27,1.5,2.2,0.7,1.3,0,0,0,3,150,1720,110,250,50,11,1.1,,,Açafrão (61.5g HC/100g)
1187,Açafrão-da-índia seco,"Leguminosas, frutos de casca rija, sementes oleaginosas e especiarias",Especiarias ,Especiaria de de raízes e tubérculos,312,1300,7,2.9,0.6,2.9,2.7,0,44.1,44.1,0,0,22.7,6.7,0.1,0,9.9,0,0,3,15,0,5,0.09,0.11,3.7,6.2,2.5,0,0,0,0,7.08,31,2910,170,290,190,40,3.2,,,Açafrão-da-índia seco (44.1g HC/100g)
1900000023,Acelga crua,Produtos hortícolas e derivados,Hortícolas folhosos,Folhas do tipo espinafre,23,97,0.2,0,0,0.1,0,0,2.7,0.6,0,2.1,1.6,1.8,0.5,0,92.7,0,0,766,4600,0,0.6,0.04,0.09,0.4,0.69,0.29,0.1,0,30,89.5,1.6,210,380,51,46,81,1.8,0.4,,,Acelga crua (2.7g HC/100g)
1008,Açorda,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",104,435,4,0.6,0.6,0.6,0.53,0.6,13.1,0.5,0,12.6,1,3.3,0.5,0,77.9,0,41,22,17,0.2,0.58,0.02,0.09,0.32,1.13,0.81,0.06,0.1,1.9,12,0.764,210,58,17,56,9.4,0.8,0.4,,,Açorda (13.1g HC/100g)
1010,Açorda à alentejana,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",95,400,3.3,0.7,1.7,0.6,0.512,0,12.3,0.5,0,11.8,0.9,3.5,0.6,0,79.1,0,51,27,16,0.2,0.52,0.02,0.1,0.3,1.18,0.88,0.07,0.13,1.8,13,0.818,230,58,17,58,9.4,0.8,0.4,,,Açorda à alentejana (12.3g HC/100g)
